customer_id,customer_type,full_name_en,full_name_ar,id_number,id_type,date_of_birth,nationality,address_line1,address_line2,city,emirate,country,postal_code,phone_primary,phone_secondary,email_primary,email_secondary,address_known,last_contact_date,last_contact_method,kyc_status,kyc_expiry_date,risk_rating,account_id,account_type,account_subtype,account_name,currency,account_status,dormancy_status,opening_date,closing_date,last_transaction_date,last_system_transaction_date,balance_current,balance_available,balance_minimum,interest_rate,interest_accrued,is_joint_account,joint_account_holders,has_outstanding_facilities,maturity_date,auto_renewal,last_statement_date,statement_frequency,tracking_id,dormancy_trigger_date,dormancy_period_start,dormancy_period_months,dormancy_classification_date,transfer_eligibility_date,current_stage,contact_attempts_made,last_contact_attempt_date,waiting_period_start,waiting_period_end,transferred_to_ledger_date,transferred_to_cb_date,cb_transfer_amount,cb_transfer_reference,exclusion_reason,created_date,updated_date,updated_by
CUS770487,INDIVIDUAL,Ali Al-Zaabi,Ali Al-Zaabi,78419988078673,EMIRATES_ID,1971-01-03,EGYPT,"Building 224, Street 15",Area 17,Dubai,FUJAIRAH,UAE,36062,+97159142600,,ali.al-zaabi@hotmail.com,,YES,2021-12-26,EMAIL,PENDING,2025-06-09,LOW,ACC2867825,CURRENT,JOINT,CURRENT - Ali Al-Zaabi,USD,DORMANT,FLAGGED,2016-05-01,,2021-02-20,2021-03-22,36849.91,35106.865987883764,500,0.0,0.0,YES,,YES,,,2020-12-30,QUARTERLY,TRK733052,2024-02-20,2024-02-20,52.0,2024-02-20,,FLAGGED,5,2021-12-26,2021-12-27,2022-03-26,,,,,,2016-05-01 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS865179,INDIVIDUAL,Fatima Al-Shamsi,Fatima Al-Shamsi,78419814823498,EMIRATES_ID,1994-05-03,INDIA,"Building 876, Street 15",Area 4,Ajman,SHARJAH,UAE,69429,+97156120868,,fatima.al-shamsi@outlook.com,,NO,2018-09-30,PHONE,PENDING,2026-03-18,HIGH,ACC8707870,CURRENT,CORPORATE,CURRENT - Fatima Al-Shamsi,USD,DORMANT,FLAGGED,2019-11-12,,2018-05-25,2018-05-30,30964.14,27634.00998323752,500,0.0,0.0,NO,3.0,YES,,,2018-03-13,QUARTERLY,TRK983794,2021-05-24,2021-05-24,39.0,2021-05-24,2023-05-24,CONTACTED,4,2018-09-30,2018-10-01,2018-12-29,,,30964.14,CB961722,,2019-11-12 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS133659,CORPORATE,Fatima Al-Zaabi,Fatima Al-Zaabi,78419845443951,EMIRATES_ID,1974-04-24,PHILIPPINES,"Building 575, Street 35",Area 9,Ajman,FUJAIRAH,UAE,62350,+97156073292,,fatima.al-zaabi@yahoo.com,,YES,2021-02-20,PHONE,COMPLIANT,2024-11-06,HIGH,ACC6292423,INVESTMENT,SECURITIES,INVESTMENT - Fatima Al-Zaabi,GBP,DORMANT,FLAGGED,2018-04-28,,2020-02-27,2020-03-17,10710.06,8704.125108909966,0,2.03,533.84,NO,1.0,YES,,,2019-12-16,ANNUAL,TRK887352,2023-02-26,2023-02-26,53.0,2023-02-26,,WAITING,3,2021-02-20,2021-02-21,2021-05-21,,,,,,2018-04-28 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS216970,INDIVIDUAL,Sara Al-Mansouri,Sara Al-Mansouri,78420006007072,EMIRATES_ID,1996-11-17,SYRIA,"Building 624, Street 13",Area 5,Sharjah,UMM_AL_QUWAIN,UAE,31174,+97159049278,+97158897858,sara.al-mansouri@gmail.com,,NO,2021-03-27,PHONE,COMPLIANT,2025-05-08,LOW,ACC5924115,INVESTMENT,MUTUAL_FUND,INVESTMENT - Sara Al-Mansouri,USD,DORMANT,FLAGGED,2015-05-18,,2020-06-11,2020-07-09,48597.22,44392.17004219552,0,0.82,1908.72,YES,3.0,YES,,,2020-05-04,ANNUAL,TRK598369,2023-06-11,2023-06-11,71.0,2023-06-11,,CONTACTED,1,2021-03-27,2021-03-28,2021-06-25,,,,,,2015-05-18 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS377932,CORPORATE,Hassan Al-Suwaidi,Hassan Al-Suwaidi,78419949683481,EMIRATES_ID,1984-02-08,SYRIA,"Building 231, Street 5",Area 11,Dubai,FUJAIRAH,UAE,82603,+97153860684,+97150120642,hassan.al-suwaidi@gmail.com,hassan.al-suwaidi@gmail.com,YES,2019-01-17,PHONE,COMPLIANT,2025-02-17,LOW,ACC9852897,INVESTMENT,MUTUAL_FUND,INVESTMENT - Hassan Al-Suwaidi,EUR,DORMANT,FLAGGED,2020-06-04,,2018-01-20,2018-02-10,10137.44,9094.12407205363,0,2.66,394.69,NO,,NO,,,2017-10-31,QUARTERLY,TRK299659,2021-01-19,2021-01-19,42.0,2021-01-19,2023-01-19,FLAGGED,3,2019-01-17,2019-01-18,2019-04-17,,,10137.44,CB790993,,2020-06-04 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS551989,INDIVIDUAL,Sara Al-Suwaidi,Sara Al-Suwaidi,78419926692553,EMIRATES_ID,1995-02-08,SYRIA,"Building 197, Street 13",Area 18,Ajman,ABU_DHABI,UAE,65296,+97153078418,,sara.al-suwaidi@yahoo.com,sara.al-suwaidi@gmail.com,NO,,,PENDING,2024-01-21,HIGH,ACC6944126,INVESTMENT,SECURITIES,INVESTMENT - Sara Al-Suwaidi,AED,DORMANT,FLAGGED,2016-09-03,,2021-08-14,2021-08-16,33700.89,33204.59035879775,0,3.89,561.2,NO,,NO,,,2021-05-19,MONTHLY,TRK272634,2024-08-13,2024-08-13,60.0,2024-08-13,,FLAGGED,0,,,,,,,,,2016-09-03 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS509386,CORPORATE,Omar Al-Mazrouei,Omar Al-Mazrouei,78419861981186,EMIRATES_ID,1988-12-18,SYRIA,"Building 63, Street 48",Area 11,Dubai,DUBAI,UAE,86569,+97157999183,+97158910817,omar.al-mazrouei@yahoo.com,,YES,2019-02-25,EMAIL,COMPLIANT,2026-02-22,LOW,ACC5449368,INVESTMENT,SECURITIES,INVESTMENT - Omar Al-Mazrouei,GBP,DORMANT,FLAGGED,2018-06-18,,2018-10-21,2018-10-24,33127.38,32740.426542649275,0,2.78,1098.4,YES,,NO,,,2018-08-10,ANNUAL,TRK692683,2021-10-20,2021-10-20,69.0,2021-10-20,2023-10-20,WAITING,1,2019-02-25,2019-02-26,2019-05-26,,,33127.38,CB373432,,2018-06-18 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS314181,INDIVIDUAL,Omar Al-Zaabi,Omar Al-Zaabi,78419942677407,EMIRATES_ID,1972-09-07,SYRIA,"Building 519, Street 17",Area 5,Sharjah,DUBAI,UAE,42018,+97156199635,,omar.al-zaabi@hotmail.com,omar.al-zaabi@outlook.com,YES,,,PENDING,2026-05-22,LOW,ACC6271130,SAVINGS,MINOR,SAVINGS - Omar Al-Zaabi,USD,DORMANT,FLAGGED,2020-05-16,,2018-04-21,2018-04-29,15069.85,12403.778549783063,500,0.93,484.18,NO,,YES,,,2018-02-05,QUARTERLY,TRK313487,2021-04-20,2021-04-20,79.0,2021-04-20,2023-04-20,WAITING,0,,,,,,15069.85,CB629959,,2020-05-16 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS612262,CORPORATE,Omar Al-Suwaidi,Omar Al-Suwaidi,78419858412769,EMIRATES_ID,1987-12-14,INDIA,"Building 575, Street 1",Area 4,Dubai,RAS_AL_KHAIMAH,UAE,29536,+97159153486,,omar.al-suwaidi@outlook.com,,YES,2022-08-25,LETTER,COMPLIANT,2024-05-12,LOW,ACC5213115,CURRENT,INDIVIDUAL,CURRENT - Omar Al-Suwaidi,EUR,DORMANT,FLAGGED,2015-04-10,,2021-09-03,2021-09-09,276.93,259.3209455987696,500,0.0,0.0,YES,,NO,,,2021-06-26,ANNUAL,TRK262060,2024-09-02,2024-09-02,51.0,2024-09-02,,CONTACTED,1,2022-08-25,2022-08-26,2022-11-23,,,,,,2015-04-10 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS938742,INDIVIDUAL,Mohammed Al-Mazrouei,Mohammed Al-Mazrouei,78420052813543,EMIRATES_ID,1982-01-28,INDIA,"Building 482, Street 15",Area 7,Ajman,SHARJAH,UAE,50001,+97153818418,,mohammed.al-mazrouei@yahoo.com,,NO,2020-01-25,PHONE,EXPIRED,2025-11-17,MEDIUM,ACC3970445,INVESTMENT,MUTUAL_FUND,INVESTMENT - Mohammed Al-Mazrouei,SAR,DORMANT,FLAGGED,2015-09-05,,2019-08-12,2019-08-22,40131.53,39643.828694811105,0,0.96,1959.06,YES,,NO,,,2019-07-11,MONTHLY,TRK725550,2022-08-11,2022-08-11,63.0,2022-08-11,2024-08-10,WAITING,1,2020-01-25,2020-01-26,2020-04-24,,,40131.53,CB863934,,2015-09-05 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS924629,INDIVIDUAL,Hassan Al-Mansouri,Hassan Al-Mansouri,78419964305700,EMIRATES_ID,1981-07-03,PAKISTAN,"Building 972, Street 43",Area 11,Sharjah,RAS_AL_KHAIMAH,UAE,26334,+97155038571,+97156851696,hassan.al-mansouri@outlook.com,,NO,2019-05-20,EMAIL,COMPLIANT,2025-11-13,HIGH,ACC6262632,INVESTMENT,PORTFOLIO,INVESTMENT - Hassan Al-Mansouri,USD,DORMANT,FLAGGED,2023-06-04,,2018-09-09,2018-09-28,9584.93,8758.91080610419,0,2.12,415.5,NO,,NO,,,2018-06-21,ANNUAL,TRK736130,2021-09-08,2021-09-08,77.0,2021-09-08,2023-09-08,WAITING,5,2019-05-20,2019-05-21,2019-08-18,,,9584.93,CB587575,,2023-06-04 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS563246,CORPORATE,Sara Al-Suwaidi,Sara Al-Suwaidi,78419824940441,EMIRATES_ID,1991-05-08,JORDAN,"Building 826, Street 13",Area 5,Dubai,DUBAI,UAE,42092,+97157971465,+97151221854,sara.al-suwaidi@hotmail.com,,YES,2021-12-09,LETTER,EXPIRED,2025-04-05,HIGH,ACC8418210,SAVINGS,JOINT,SAVINGS - Sara Al-Suwaidi,AED,DORMANT,FLAGGED,2020-09-26,,2020-12-20,2021-01-17,32976.65,31334.178541576115,500,3.58,470.36,NO,,NO,,,2020-11-17,ANNUAL,TRK361303,2023-12-20,2023-12-20,43.0,2023-12-20,,TRANSFER_READY,4,2021-12-09,2021-12-10,2022-03-09,,,,,,2020-09-26 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS239816,CORPORATE,Noor Al-Suwaidi,Noor Al-Suwaidi,78419885147994,EMIRATES_ID,1996-11-09,SYRIA,"Building 785, Street 50",Area 17,Ajman,RAS_AL_KHAIMAH,UAE,41358,+97154606980,,noor.al-suwaidi@outlook.com,,NO,2019-11-03,SMS,PENDING,2024-03-05,LOW,ACC8795419,FIXED_DEPOSIT,CERTIFICATE_DEPOSIT,FIXED_DEPOSIT - Noor Al-Suwaidi,GBP,DORMANT,FLAGGED,2017-10-10,,2019-02-03,2019-02-25,43247.33,35919.54795787998,0,1.36,1150.15,NO,,NO,2021-04-10,YES,2019-01-01,MONTHLY,TRK973349,2022-02-02,2022-02-02,62.0,2022-02-02,2024-02-02,TRANSFER_READY,5,2019-11-03,2019-11-04,2020-02-01,,,43247.33,CB907189,,2017-10-10 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS712451,INDIVIDUAL,Ahmed Al-Dhaheri,Ahmed Al-Dhaheri,78419954681284,EMIRATES_ID,1978-07-16,INDIA,"Building 30, Street 25",Area 11,Ajman,RAS_AL_KHAIMAH,UAE,31632,+97157841505,+97158961107,ahmed.al-dhaheri@gmail.com,ahmed.al-dhaheri@gmail.com,YES,2020-07-31,LETTER,COMPLIANT,2025-03-02,MEDIUM,ACC1327691,INVESTMENT,SECURITIES,INVESTMENT - Ahmed Al-Dhaheri,GBP,DORMANT,FLAGGED,2019-03-22,,2019-09-26,2019-10-06,42687.05,35956.67062702995,0,1.81,1726.66,NO,,NO,,,2019-08-11,MONTHLY,TRK593152,2022-09-25,2022-09-25,37.0,2022-09-25,2024-09-24,FLAGGED,4,2020-07-31,2020-08-01,2020-10-29,,,42687.05,CB466960,,2019-03-22 00:00:00,2024-12-01 00:00:00,SYSTEM
